"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z250","2019-09-23 00:00:00","1124.000","0.000","0.000","16.900","0.990","893.000","","25.000","-99.000","-99.000","-99.000","19.900","","16.900",""
"C0K440","2019-09-23 00:00:00","35.000","331.000","2.500","22.100","0.770","1010.400","","0.000","-99.000","-99.000","-99.000","29.200","","22.100",""
"C0T900","2019-09-23 00:00:00","160.000","0.000","0.200","20.700","0.930","996.500","","10.500","-99.000","-99.000","-99.000","23.300","","20.600",""
"C0F9V0","2019-09-23 00:00:00","525.000","265.000","0.600","19.900","0.930","957.200","","0.000","-99.000","-99.000","-99.000","28.700","","19.300",""
"C0X190","2019-09-23 00:00:00","10.000","4.000","2.200","24.700","0.800","1012.400","","0.000","-99.000","-99.000","-99.000","29.500","","24.200",""
"C0S950","2019-09-23 00:00:00","415.000","244.000","0.400","20.700","1.000","968.200","","36.500","-99.000","-99.000","-99.000","22.900","","20.600",""
"C0A880","2019-09-23 00:00:00","6.000","1.000","1.700","22.600","0.800","1013.300","","0.000","-99.000","-99.000","-99.000","27.800","","20.100",""
"C0I530","2019-09-23 00:00:00","3014.000","225.000","6.200","7.600","1.000","704.500","","3.500","-99.000","-99.000","-99.000","10.400","","7.400",""
"C0M670","2019-09-23 00:00:00","43.000","9.000","0.800","23.400","0.810","1008.800","","0.000","-99.000","-99.000","-99.000","30.200","","23.400",""
"C0Z061","2019-09-23 00:00:00","174.000","336.000","1.100","21.500","0.990","999.200","","7.500","-99.000","-99.000","-99.000","26.400","","21.500",""
"C0M730","2019-09-23 00:00:00","40.000","0.000","0.000","24.200","0.930","1008.900","","0.000","-99.000","-99.000","-99.000","32.200","","23.700",""
"C0U750","2019-09-23 00:00:00","398.000","322.000","3.300","20.900","0.850","970.700","","0.000","-99.000","-99.000","-99.000","25.100","","20.700",""
"C0A650","2019-09-23 00:00:00","287.000","0.000","0.000","19.500","0.990","983.600","","0.500","-99.000","-99.000","-99.000","24.900","","17.200",""
"C0K400","2019-09-23 00:00:00","65.000","8.000","0.300","22.900","0.990","1007.300","","0.000","-99.000","-99.000","-99.000","30.400","","22.900",""
"C0I370","2019-09-23 00:00:00","671.000","0.000","0.000","20.700","0.870","940.300","","0.500","-99.000","-99.000","-99.000","26.500","","19.100",""
"C0S750","2019-09-23 00:00:00","2280.000","0.000","0.000","13.000","1.000","776.100","","14.500","-99.000","-99.000","-99.000","17.400","","13.000",""
"C0R650","2019-09-23 00:00:00","29.000","0.000","0.000","25.900","0.800","1012.000","","0.000","-99.000","-99.000","-99.000","30.800","","24.100",""
"C0E740","2019-09-23 00:00:00","27.000","54.000","0.600","23.100","0.780","1011.600","","0.000","-99.000","-99.000","-99.000","28.800","","19.600",""
"C0AI20","2019-09-23 00:00:00","25.000","28.000","6.700","25.400","0.690","1012.600","","0.000","-99.000","-99.000","-99.000","26.000","","22.200",""
"C0E550","2019-09-23 00:00:00","84.000","55.000","2.800","23.100","0.740","1006.500","","0.000","-99.000","-99.000","-99.000","27.800","","20.000",""
"C0X060","2019-09-23 00:00:00","19.000","341.000","1.400","22.000","0.880","1013.600","","0.000","-99.000","-99.000","-99.000","31.000","","22.000",""
"C1R320","2019-09-23 00:00:00","7.000","-99.000","-99.000","-99.000","-99.000","-99.000","","46.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
